"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0SA20","2020-04-09 00:00:00","857.000","345.000","0.900","15.800","0.980","921.200","","0.000","-99.000","-99.000","-99.000","19.100","","13.900",""
"C0K490","2020-04-09 00:00:00","91.000","0.000","0.000","18.600","0.890","1005.700","","0.000","-99.000","-99.000","-99.000","25.300","","14.400",""
"C0V820","2020-04-09 00:00:00","441.000","28.000","0.300","18.700","0.990","968.600","","0.000","-99.000","-99.000","-99.000","26.200","","16.800",""
"C0S810","2020-04-09 00:00:00","65.000","331.000","2.800","20.700","0.830","1011.700","","0.000","-99.000","-99.000","-99.000","25.600","","18.900",""
"C0R580","2020-04-09 00:00:00","10.000","340.000","2.000","21.500","0.850","1015.300","","0.000","-99.000","-99.000","-99.000","26.100","","17.500",""
"C0Z330","2020-04-09 00:00:00","488.000","352.000","0.600","16.900","0.990","964.000","","0.000","-99.000","-99.000","-99.000","21.900","","14.500",""
"C0E590","2020-04-09 00:00:00","40.000","2.000","0.300","17.900","0.840","1011.400","","0.000","-99.000","-99.000","-99.000","23.500","","15.600",""
"C0D540","2020-04-09 00:00:00","227.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0K420","2020-04-09 00:00:00","42.000","6.000","0.400","19.200","0.830","1011.600","","0.000","-99.000","-99.000","-99.000","24.400","","14.800",""
"C0Z180","2020-04-09 00:00:00","34.000","0.000","0.100","20.100","0.890","1013.100","","0.000","-99.000","-99.000","-99.000","23.800","","18.100",""
"C0AD10","2020-04-09 00:00:00","27.000","83.000","0.400","18.000","0.880","1013.900","","0.000","-99.000","-99.000","-99.000","19.400","","17.200",""
"C0M720","2020-04-09 00:00:00","225.000","113.000","0.900","18.700","0.920","990.400","","0.000","-99.000","-99.000","-99.000","24.700","","14.200",""
"C0V450","2020-04-09 00:00:00","51.000","18.000","1.000","21.600","0.740","1010.300","","0.000","-99.000","-99.000","-99.000","27.100","","17.600",""
"C0R280","2020-04-09 00:00:00","242.000","70.000","0.400","19.100","0.980","989.100","","0.000","-99.000","-99.000","-99.000","25.400","","18.600",""
"C0E610","2020-04-09 00:00:00","850.000","231.000","0.300","15.400","0.920","922.100","","0.000","-99.000","-99.000","-99.000","18.700","","14.000",""
"C0V610","2020-04-09 00:00:00","22.000","37.000","1.600","21.600","0.800","1014.000","","0.000","-99.000","-99.000","-99.000","25.600","","16.100",""
"C0Z310","2020-04-09 00:00:00","59.000","353.000","1.000","19.600","0.990","1010.900","","0.000","-99.000","-99.000","-99.000","23.100","","18.200",""
"C0S700","2020-04-09 00:00:00","507.000","180.000","0.900","16.800","0.950","960.600","","0.000","-99.000","-99.000","-99.000","20.900","","15.500",""
"C0T9G0","2020-04-09 00:00:00","605.000","0.000","0.000","16.400","0.990","950.900","","0.500","-99.000","-99.000","-99.000","20.300","","14.000",""
"C0U520","2020-04-09 00:00:00","517.000","235.000","0.700","15.000","0.990","961.300","","1.000","-99.000","-99.000","-99.000","18.200","","13.000",""
"C0E750","2020-04-09 00:00:00","62.000","0.000","0.100","18.500","0.790","1009.400","","0.000","-99.000","-99.000","-99.000","22.100","","15.900",""
"C0G660","2020-04-09 00:00:00","27.000","355.000","1.500","19.800","0.800","1014.600","","0.000","-99.000","-99.000","-99.000","25.200","","16.200",""
"C0K460","2020-04-09 00:00:00","60.000","0.000","0.000","19.600","0.830","1008.700","","0.000","-99.000","-99.000","-99.000","24.800","","15.200",""
"C0X100","2020-04-09 00:00:00","10.000","5.000","1.200","20.700","0.870","1013.500","","0.000","-99.000","-99.000","-99.000","25.900","","16.400",""
"C0K560","2020-04-09 00:00:00","117.000","358.000","0.300","18.600","0.900","1003.600","","0.000","-99.000","-99.000","-99.000","25.500","","15.000",""
"C0M840","2020-04-09 00:00:00","578.000","0.000","0.200","18.500","0.900","951.200","","-99.000","-99.000","-99.000","-99.000","24.700","","17.000",""
